Designator,Footprint,Quantity,Value,LCSC Part #
"_4, _3, _2, ",,4,,
"C1, C3, C4, C5, C6, C7, C9",2.54mm_capacitor,7,0.1uF,
C2,capacitor,1,1000uF,
C8,capacitor,1,470uF,
"D1, D2",D_DO-41_SOD81_P10.16mm_Horizontal,2,1N4001,
F1,5.08mm_capacitor_1,1,Fuse,
L1,LiPo,1,~,
"M1, M2, M3, M4, M7, M8, M9",sts3032,7,~,
"M5, M6",servo_motor_3,2,Motor_Servo,
"Q1, Q2",LED_D5.0mm_Clear,2,BPW40,
"R1, R2",Resister,2,8.4k,
"R3, R4, R5",Resister,3,100k,
"S1, S2",CW-SB11KKFF,2,tactile switch,
U1,MODULE_ESP32-DEVKITC-32E,1,ESP32-DEVKITC-32E,
"U10, U15, U5, U6, U7, U8, U9",VL53L1X-ToF,7,~,
U11,DCDC-LTC3111,1,~,
"U12, U4",AE-HX711,2,~,
U13,fe-urt-2,1,~,
U14,AE-BNO055-BO,1,~,
U16,DCDC-M78AR033-0.5,1,~,
U17,PKM13EPYH4000-A0,1,~,
"U2, U3",voltmeter,2,~,
