Designator,Mid X,Mid Y,Rotation,Layer
_4,169.5,-36.5,0.0,top
_3,93.5,-146.5,0.0,top
_2,169.5,-146.5,0.0,top
,93.5,-36.5,0.0,top
C1,92.85,-52.23,90.0,top
C2,166.0,-78.0,180.0,top
C3,94.6,-72.6,90.0,top
C4,95.5,-89.0,90.0,top
C5,95.5,-110.0,90.0,top
C6,95.5,-131.0,90.0,top
C7,99.4,-143.0,0.0,top
C8,166.0,-90.0,0.0,top
C9,120.53,-145.6,0.0,top
D1,101.0,-47.5,90.0,top
D2,145.12,-129.2,180.0,top
F1,147.5,-138.0,90.0,top
L1,103.5,-128.619,90.0,top
M1,134.0,-38.0,0.0,top
M2,144.0,-38.0,0.0,top
M3,154.04,-38.0,0.0,top
M4,163.0,-38.0,0.0,top
M5,149.46,-75.5,0.0,top
M6,149.46,-80.0,0.0,top
M7,139.96,-146.0,0.0,top
M8,149.46,-146.0,0.0,top
M9,159.96,-146.0,0.0,top
Q1,100.547,-56.51,0.0,top
Q2,136.13,-71.0,180.0,top
R1,136.5,-48.0,90.0,top
R2,136.5,-60.0,90.0,top
R3,101.277,-70.01,270.0,top
R4,97.277,-65.51,270.0,top
R5,134.5,-80.0,270.0,top
S1,118.19,-133.28,90.0,top
S2,161.7,-131.25,0.0,top
U1,118.5,-66.525,0.0,top
U10,104.5,-146.0,0.0,top
U11,155.685,-57.04,0.0,top
U12,151.925,-113.71,0.0,top
U13,118.5,-88.5,0.0,bottom
U14,148.54,-91.16,90.0,top
U15,125.8,-147.6,0.0,top
U16,137.802,-134.103,0.0,top
U17,161.4,-102.0,180.0,bottom
U2,98.5,-104.0,270.0,top
U3,136.02,-125.1,0.0,top
U4,120.635,-110.26,0.0,top
U5,96.0,-47.5,90.0,top
U6,93.0,-62.77,90.0,top
U7,93.0,-83.85,90.0,top
U8,93.0,-104.85,90.0,top
U9,93.0,-125.81,90.0,top
